Company Name,Industry,Stage,Amount($),HeadQuarter,Funding Year,category
HungerBox,Foodtech,Series A to Series H,12000000.0,Bangalore,2019,Technology
Bijak,AgriTech,Early Stage,2500000.0,unknown,2019,Technology
Licious,Food,Series A to Series H,30000000.0,Bangalore,2019,Food & Agriculture
truMe,IoT,unknown,140000.0,unknown,2019,Other
Pumpkart,E-marketplace,unknown,0.0,Chandigarh,2019,E-Commerce & Marketplace
Asteria Aerospace,Robotics & AI,unknown,230000000.0,Bangalore,2019,Other
Rivigo,Logistics,Series A to Series H,20000000.0,unknown,2019,Autommotive $ Transportation
HappyEasyGo,Travel,Series A to Series H,49400000.0,Gurugram,2019,Other
Zetwerk,Manufacturing,Series A to Series H,32000000.0,Bangalore,2019,Other
Observe.AI,AI,Series A to Series H,26000000.0,Bangalore,2019,Other
Freshokartz,E-marketplace,Early Stage,150000.0,Jaipur,2019,E-Commerce & Marketplace
Lil’ Goodness and sCool meal,Food & Nutrition,unknown,400000.0,Bangalore,2019,Food & Agriculture
Trell,Social Media,Early Stage,2000000.0,Bangalore,2019,Other
VMate,nan,unknown,100000000.0,unknown,2019,Other
Bombay Shirt Company,E-commerce,unknown,8000000.0,Mumbai,2019,E-Commerce & Marketplace
Slintel,SaaS,unknown,1500000.0,unknown,2019,Other
MyGameMate,E-Sports,unknown,100000.0,Bangalore,2019,Other
Afinoz,Fintech,unknown,0.0,Noida,2019,Technology
Rein Games,Technology,Early Stage,50000000.0,Noida,2019,Technology
Ecozen,AgriTech,Series A to Series H,6000000.0,Pune,2019,Technology
Box8,Foodtech,unknown,120000000.0,Mumbai,2019,Technology
Awign Enterprises,nan,Series A to Series H,4000000.0,Bangalore,2019,Other
Purplle,Cosmetics,Series A to Series H,30000000.0,Mumbai,2019,Other
Freightwalla,B2B,Series A to Series H,4000000.0,Mumbai,2019,Other
TapChief,nan,Early Stage,1500000.0,Bangalore,2019,Other
eJOHRI,Jewellery,Early Stage,1000000.0,Mumbai,2019,Healthcare
Ninjacart,B2B Supply Chain,unknown,0.0,unknown,2019,Other
Binca Games,Games,unknown,0.0,Mumbai,2019,Other
KredX,nan,Series A to Series H,26000000.0,Bangalore,2019,Other
m.Paani,nan,Series A to Series H,5500000.0,Mumbai,2019,Other
Origo,AgriTech,unknown,6800000.0,Gurugram,2019,Technology
WishADish,Food & tech,unknown,6000000.0,Delhi,2019,Technology
Ecom Express,Logistics,unknown,36000000.0,Gurugram,2019,Autommotive $ Transportation
Stanza Living,Accomodation,unknown,5700000.0,Delhi,2019,Other
PiBeam,Automotive tech,unknown,50000000.0,Chennai,2019,Technology
Euler Motors,Automotive tech,unknown,2000000.0,Delhi,2019,Technology
Moms Co,E-commerce,Series A to Series H,5000000.0,New Delhi,2019,E-Commerce & Marketplace
Cubical Labs,IoT,Series A to Series H,0.0,unknown,2019,Other
Lawyered,Legal tech,unknown,100000.0,Delhi,2019,Technology
Cuemath,Edtech,unknown,5500000.0,Bangalore,2019,Technology
Licious,Food,Series A to Series H,25000000.0,Bangalore,2019,Food & Agriculture
Nivesh.com,Mutual Funds,unknown,600000.0,Noida,2019,Other
Zebu,Cybersecurity,Early Stage,4000000.0,unknown,2019,Other
Smart Institute,Edtech,unknown,1500000.0,Surat,2019,Technology
CarDekho,Automobile,Series A to Series H,70000000.0,Jaipur,2019,Autommotive $ Transportation
Shadowfax,Logistics,Series A to Series H,60000000.0,Bangalore,2019,Autommotive $ Transportation
Credr,Automobile,unknown,6000000.0,Mumbai,2019,Autommotive $ Transportation
Sportido,Sports,Series A to Series H,0.0,Noida,2019,Other
Phable,Healthtech,unknown,220000.0,unknown,2019,Technology
Sarva,Yoga & wellness,unknown,2800000.0,Chennai,2019,Healthcare
IndyFint,Virtual Banking,Series A to Series H,2100000.0,Bangalore,2019,Finance $ Banking
Zolostays,Accomodation,unknown,7000000.0,unknown,2019,Other
Ola,Transportation,unknown,311000000.0,Bangalore,2019,Autommotive $ Transportation
Zoomcar,Transport & Rentals,unknown,4800000.0,Bangalore,2019,Autommotive $ Transportation
Kratikal,Technology,Early Stage,1000000.0,Uttar pradesh,2019,Technology
Froogal,Marketing & Customer loyalty,Early Stage,1000000.0,Hyderabad,2019,E-Commerce & Marketplace
Infra.Market,Infratech,Series A to Series H,20000000.0,Mumbai,2019,Technology
Oyo,Hospitality,unknown,693000000.0,Gurugram,2019,Other
GoMechanic,Automobile & Technology,Series A to Series H,5000000.0,Delhi,2019,Technology
Spinny,Automobile,unknown,50000000.0,Delhi,2019,Autommotive $ Transportation
Ess Kay Fincorp,Banking,unknown,33000000.0,Rajasthan,2019,Finance $ Banking
Aqgromalin,AgriTech,unknown,200000.0,Chennai,2020,Technology
Krayonnz,EdTech,Early Stage,100000.0,Bangalore,2020,Technology
PadCare Labs,Hygiene management,Early Stage,111909478.7413793,Pune,2020,Other
NCOME,Escrow,unknown,400000.0,New Delhi,2020,Other
Gramophone,AgriTech,unknown,340000.0,Indore,2020,Technology
